id,name,age,zip_code,city
1,Boris Parker,25,63348,Bronco
2,Alan Cooper,39,62565,Endeavor
3,Rihanna Alcroft,38,67735,Econoline E350
4,Celia Adler,30,66840,Trooper
5,Emerald Anderson,43,62651,350Z Roadster
6,Cecilia Pearce,33,61854,F250
7,Rosie Richards,34,67235,Mazdaspeed6
8,Tyson Douglas,31,65518,300
9,Adalie Camden,36,61713,Safari
10,Doris Willson,42,65462,A4
11,Sebastian Weasley,40,66681,GS
12,Kieth Owen,42,67710,Cabriolet
13,Janice Phillips,42,61582,Amigo
14,Jasmine Johnson,34,67464,Ranger
15,Alan Whitehouse,33,61223,Sebring
16,Bridget Wilson,42,63799,Mariner
17,Eden Leigh,27,66009,Eclipse
18,Eduardo Richardson,25,63504,Rally Wagon 3500
19,Kurt Vangness,27,68412,Mustang
20,Cadence Forth,38,66315,Grand Vitara
21,Hank Farrant,44,64927,Thunderbird
22,Kaylee Moore,44,63875,Tacoma Xtra
23,Owen Lewin,34,62660,4Runner
24,Dorothy Gates,27,68740,XK
25,Olivia Anderson,31,65821,Optima
26,Danielle Richardson,42,65387,MDX
27,Rae Downing,41,66235,Legacy
28,Drew Johnson,42,64275,Escort
29,Cedrick Roscoe,42,63403,Econoline E350
30,Bart Knight,29,63194,Prelude
31,Alan Rivers,32,68683,Roadmaster
32,Ron Cork,26,63983,Villager
33,Carol Knight,32,68181,RX
34,Vicky Bloom,38,65484,Z4
35,Tara Todd,39,68330,Camaro
36,Sage Chappell,38,63143,Silverado 1500
37,Bree Pierce,29,68574,H3
38,Javier Larkin,31,65018,Firebird
39,Lexi Mcnally,36,63435,Suburban 1500
40,Boris Khan,34,63844,xB
41,Diane Kaur,40,68980,Cooper Clubman
42,Ryan Newton,33,68998,Touareg
43,Rufus Ellis,27,68253,Eldorado
44,Clint Garcia,43,61003,323
45,Nick Gosling,25,66476,Corolla
46,Tyler Russel,39,61219,Corvette
47,Louise Terry,40,61505,Sentra
48,Chester Kaur,27,68994,Yukon
49,Rosalie Evans,29,61262,Avalon
50,Ryan Ashwell,33,65730,911
51,Emmanuelle Pierce,36,67032,Silverado 2500
52,David Stone,29,61007,C30
53,Janelle Vass,37,61046,C-Class
54,Logan Stevens,37,64642,Continental
55,Alexander Jackson,30,62306,S6
56,Aurelia Wooldridge,34,64815,Avalanche
57,Mason Tyler,38,66383,Town & Country
58,Fred Fulton,40,66768,RX
59,Stella Kerr,32,64505,6000
60,Joseph Potts,37,65000,Touareg
61,Summer Cooper,36,65362,Blazer
62,John James,37,61281,F150
63,Jackeline Rivers,24,64017,RX
64,Tony Lindop,36,62023,Savana 1500
65,Maia Booth,34,66097,911
66,Chadwick Noach,30,62131,Tacoma
67,Rick Hewitt,42,62466,Voyager
68,Alan Cann,41,68775,Concorde
69,Jackeline Fields,33,65306,Villager
70,Rocco Downing,42,64254,Montero
71,Ryan Aldridge,44,63506,QX
72,Bree Wright,43,67235,Camry
73,Shay Overson,28,62346,Sunbird
74,Russel Watson,29,66799,FX
75,Megan Slater,33,64343,Golf
76,Mike Redfern,37,62040,Golf
77,Lucy Vangness,44,63559,Aspen
78,Luke Oswald,36,64215,5000S
